Product Name,Category,Price,Original Price,Product Link,Image URLs,Sizes,Review||Reviewers
Sky Jordan 1,Baby and Toddler Shoe,Rp729000,-,https://www.nike.com/id/t/sky-jordan-1-and-shoe-td3n17/BQ7196-401,,,Review data not available
Nike Rift 2,Baby/Toddler Shoes,Rp649000,-,https://www.nike.com/id/t/rift-2-shoes-8rQlhB/FB5528-300,,,Review data not available
Nike Dunk Low,Older Kids' Shoes,Rp958000,Rp1129000,https://www.nike.com/id/t/dunk-low-older-shoes-GxZFcV/DH9765-103,,,Review data not available
Nike Dunk Low,Younger Kids' Shoes,Rp758000,Rp899000,https://www.nike.com/id/t/dunk-low-younger-shoes-QgzS96/FD1228-001,,,Review data not available
Nike Sunray Adjust 6,Younger Kids' Slides,Rp499000,-,https://www.nike.com/id/t/sunray-adjust-6-younger-slides-wTQV6P/DX5545-002,,,Review data not available
Jordan 4 Retro,Baby/Toddler Shoes,Rp959000,-,https://www.nike.com/id/t/jordan-4-retro-shoes-LFtz1f/BQ7670-017,,,Review data not available
Nike Air Max SYSTM,Older Kids' Shoes,Rp1129000,-,https://www.nike.com/id/t/air-max-systm-older-shoes-S175cF/DQ0284-102,,,Review data not available
Nike Star Runner 3,Baby/Toddler Shoes,Rp579000,-,https://www.nike.com/id/t/star-runner-3-shoes-7321HF/DA2778-601,,,Review data not available
Nike Team Hustle D 10 Lil,Baby/Toddler Shoes,Rp508000,Rp729000,https://www.nike.com/id/t/team-hustle-d-10-lil-shoes-f5V8st/DQ8374-001,,,Review data not available
Nike Air Zoom Pegasus 40,Older Kids' Road Running Shoes,Rp1519000,-,https://www.nike.com/id/t/air-zoom-pegasus-40-older-road-running-shoes-fH12SZ/FJ4142-100,,,Review data not available
Nike Sunray Adjust 6,Baby/Toddler Slides,Rp469000,-,https://www.nike.com/id/t/sunray-adjust-6-slides-6xjxth/DR5709-002,,,Review data not available
Nike Dunk Low,Baby/Toddler Shoes,Rp649000,-,https://www.nike.com/id/t/dunk-low-shoes-t5v34c/DH9761-105,,,Review data not available
Nike Team Hustle D 11,Younger Kids' Shoes,Rp799000,-,https://www.nike.com/id/t/team-hustle-d-11-younger-shoes-5FsXFk/DV8994-600,,,Review data not available
Jordan Flare,Baby and Toddler Shoe,Rp499000,-,https://www.nike.com/id/t/jordan-flare-and-shoe-xdcH5J/CI7850-700,,,Review data not available
Jordan 23/7,Younger Kids' Shoes,Rp758000,Rp899000,https://www.nike.com/id/t/jordan-23-7-younger-shoes-ZlBBQP/DQ9293-616,,,Review data not available
Nike Sunray Protect 2,Baby/Toddler Sandals,Rp449000,-,https://www.nike.com/id/t/sunray-protect-2-sandals-VjS6fW/943827-403,,,Review data not available
Freak 4,Older Kids' Basketball Shoes,Rp1128000,Rp1329000,https://www.nike.com/id/t/freak-4-older-basketball-shoes-TPb8Xg/DQ0553-103,,,Review data not available
Nike Downshifter 12,Older Kids' Road Running Shoes,Rp809000,-,https://www.nike.com/id/t/downshifter-12-older-road-running-shoes-V10vNr/DM4194-001,,,Review data not available
Air Jordan 1 Low,Older Kids' Shoes,Rp1349000,-,https://www.nike.com/id/t/air-jordan-1-low-older-shoes-xLzJc6/553560-041,,,Review data not available
Jordan 1 Mid,Baby and Toddler Shoe,Rp678000,Rp799000,https://www.nike.com/id/t/jordan-1-mid-and-shoe-xBHJ1M/AR6352-400,,,Review data not available
Nike Force 1 Low,Baby/Toddler Shoes,Rp799000,-,https://www.nike.com/id/t/force-1-low-shoes-ZFhD7K/FJ3486-103,,,Review data not available
Nike Blazer Mid '77,Older Kids' Shoes,Rp1249000,-,https://www.nike.com/id/t/blazer-mid-77-older-shoes-9SF5xR/FN6966-100,,,Review data not available
Nike Court Borough Low Recraft,Baby/Toddler Shoes,Rp539000,-,https://www.nike.com/id/t/court-borough-low-recraft-shoes-D0nqP8/DV5458-102,,,Review data not available
NikeCourt Legacy,Younger Kids' Shoes,Rp499000,-,https://www.nike.com/id/t/nikecourt-legacy-younger-shoes-61nDLJ/DA5381-118,,,Review data not available
Air Jordan 4 Retro,Older Kids' Shoes,Rp2199000,-,https://www.nike.com/id/t/air-jordan-4-retro-older-shoes-89Tq4B8w/408452-017,,,Review data not available
Nike Dunk Low,Baby/Toddler Shoes,Rp548000,Rp649000,https://www.nike.com/id/t/dunk-low-shoes-jRHJJW/FD1233-002,,,Review data not available
Jordan 1 Retro High OG,Younger Kids' Shoes,Rp958000,Rp1129000,https://www.nike.com/id/t/jordan-1-retro-high-og-younger-shoes-GHmhdz/FD2597-700,,,Review data not available
Nike Court Borough Low Recraft,Older Kids' Shoes,Rp799000,-,https://www.nike.com/id/t/court-borough-low-recraft-older-shoes-cg2qJ0/DV5456-102,,,Review data not available
Nike Kawa,Younger/Older Kids' Slides,Rp298000,Rp349000,https://www.nike.com/id/t/kawa-younger-older-slides-CWx3Qg/FJ2250-300,,,Review data not available
Giannis Immortality 2,Older Kids' Basketball Shoes,Rp959000,-,https://www.nike.com/id/t/giannis-immortality-2-older-basketball-shoes-qjV3j0/DQ1943-001,,,Review data not available
